x,y,citation
1,20201,5
2,20201,4
3,20201,1
4,20201,1
5,20201,1
6,20201,1
7,20201,1
1,20202,16
2,20202,1
1,20203,2
1,20204,5
2,20204,3
3,20204,2
4,20204,2
5,20204,2
6,20204,1
7,20204,1
8,20204,1
9,20204,0
1,20205,1
2,20205,0
1,20206,4
2,20206,0
3,20206,0
4,20206,0
5,20206,0
1,20207,1
2,20207,0
3,20207,0
1,20208,1
2,20208,0
3,20208,0
1,20209,0
2,20209,1
1,20191,44
2,20191,5
3,20191,0
1,201910,6
2,201910,4
3,201910,2
4,201910,2
5,201910,0
6,201910,0
7,201910,0
1,201911,19
2,201911,5
3,201911,2
4,201911,2
5,201911,1
6,201911,1
7,201911,1
8,201911,1
9,201911,1
10,201911,0
11,201911,0
12,201911,0
13,201911,0
1,201912,2
2,201912,1
1,20192,20
2,20192,5
1,20193,9
2,20193,9
3,20193,3
4,20193,2
5,20193,1
6,20193,1
7,20193,1
8,20193,0
9,20193,0
1,20194,4
1,20195,21
2,20195,19
3,20195,17
4,20195,4
5,20195,2
6,20195,1
1,20196,24
2,20196,15
3,20196,1
4,20196,1
1,20197,9
2,20197,1
3,20197,1
1,20198,33
1,20199,15
2,20199,1
1,20181,87
2,20181,2
1,201810,1
2,201810,1
1,201811,13
2,201811,11
3,201811,0
1,201812,24
2,201812,24
3,201812,6
4,201812,4
5,201812,4
1,20183,14
2,20183,6
1,20184,78
2,20184,8
3,20184,6
4,20184,2
1,20185,6
1,20186,14
2,20186,11
3,20186,10
4,20186,2
5,20186,2
6,20186,1
1,20187,5
1,20188,14
2,20188,5
1,20189,20
2,20189,13
1,201710,30
2,201710,3
1,201711,74
2,201711,48
3,201711,48
4,201711,38
5,201711,25
6,201711,17
7,201711,15
8,201711,13
9,201711,8
10,201711,8
1,201712,114
2,201712,7
1,20173,26
2,20173,23
3,20173,20
4,20173,14
5,20173,14
6,20173,6
7,20173,4
1,20174,43
2,20174,33
1,20175,119
2,20175,63
3,20175,27
4,20175,25
1,20176,20
2,20176,19
3,20176,18
4,20176,18
5,20176,4
1,201610,279
2,201610,18
3,201610,8
4,201610,2
5,201610,1
6,201610,1
1,201611,80
2,201611,19
3,201611,14
4,201611,9
5,201611,3
1,201612,37
1,20162,90
2,20162,11
3,20162,11
1,20163,32
2,20163,23
3,20163,6
4,20163,4
5,20163,4
1,20165,39
1,20166,5
1,20167,16
1,20151,18
1,201510,108
2,201510,12
3,201510,8
4,201510,6
5,201510,6
6,201510,3
1,201511,71
2,201511,24
3,201511,6
1,20154,42
2,20154,14
1,20157,133
1,20159,7
2,20159,7
1,201410,139
2,201410,31
3,201410,9
1,201411,32
2,201411,12
1,20142,35
1,20143,23
1,20144,31
2,20144,13
3,20144,13
1,20146,12
1,20147,25
2,20147,1
1,20131,7
1,201311,37
1,20133,195
1,20134,130
2,20134,21
1,20137,13
2,20137,2
1,20139,42
1,20121,18
2,20121,9
1,201211,56
1,201212,86
2,201212,31
1,20124,14
1,20125,106
1,201110,2
1,201112,4
1,20113,27
2,20113,0
1,201010,32
2,201010,29
1,201012,10
1,20106,3
1,20107,31
1,20071,0
1,200711,34
2,200711,25
1,20061,6
1,200611,13
1,20064,130
1,20051,24
1,20053,82
1,20048,14
1,20049,14
1,20032,300
1,20034,282
1,20037,17
1,20027,548
